Initial_Fraction Final_Fraction
0.00 0.49771
0.01 0.49881
0.02 0.49638
0.03 0.50088
0.04 0.50096
0.05 0.50033
0.06 0.49912
0.07 0.49918
0.08 0.49966
0.09 0.50008
0.10 0.50081
0.11 0.50058
0.12 0.50248
0.13 0.50001
0.14 0.50037
0.15 0.49989
0.16 0.49935
0.17 0.49983
0.18 0.50150
0.19 0.49984
0.20 0.49904
0.21 0.49861
0.22 0.50129
0.23 0.49862
0.24 0.50269
0.25 0.50022
0.26 0.50114
0.27 0.50083
0.28 0.50029
0.29 0.50152
0.30 0.49982
0.31 0.50155
0.32 0.49986
0.33 0.49900
0.34 0.50109
0.35 0.50011
0.36 0.49826
0.37 0.50270
0.38 0.49943
0.39 0.50113
0.40 0.50088
0.41 0.50117
0.42 0.50099
0.43 0.49712
0.44 0.49969
0.45 0.49992
0.46 0.50021
0.47 0.49978
0.48 0.49986
0.49 0.50041
0.50 0.50285
0.51 0.50076
0.52 0.50025
0.53 0.49897
0.54 0.50098
0.55 0.49963
0.56 0.50000
0.57 0.50016
0.58 0.50145
0.59 0.49985
0.60 0.49930
0.61 0.49877
0.62 0.49948
0.63 0.49876
0.64 0.49820
0.65 0.50032
0.66 0.50107
0.67 0.49885
0.68 0.50062
0.69 0.50080
0.70 0.50260
0.71 0.50130
0.72 0.50115
0.73 0.50250
0.74 0.49987
0.75 0.50054
0.76 0.50065
0.77 0.49455
0.78 0.50142
0.79 0.49991
0.80 0.50140
0.81 0.50028
0.82 0.50033
0.83 0.50032
0.84 0.49945
0.85 0.50125
0.86 0.50104
0.87 0.49920
0.88 0.50055
0.89 0.49912
0.90 0.50064
0.91 0.50214
0.92 0.49938
0.93 0.49894
0.94 0.49879
0.95 0.49828
0.96 0.50051
0.97 0.49827
0.98 0.50171
0.99 0.50045
