Initial_Fraction Final_Fraction
0.00 0.47479
0.01 0.49397
0.02 0.53534
0.03 0.52095
0.04 0.48885
0.05 0.43586
0.06 0.46516
0.07 0.49198
0.08 0.47112
0.09 0.44344
0.10 0.60587
0.11 0.48046
0.12 0.53011
0.13 0.47845
0.14 0.50508
0.15 0.52128
0.16 0.50031
0.17 0.51317
0.18 0.50204
0.19 0.45140
0.20 0.49837
0.21 0.52533
0.22 0.45228
0.23 0.56145
0.24 0.49652
0.25 0.50502
0.26 0.47884
0.27 0.47763
0.28 0.46340
0.29 0.52098
0.30 0.48029
0.31 0.46704
0.32 0.54577
0.33 0.49551
0.34 0.53734
0.35 0.51009
0.36 0.46162
0.37 0.44826
0.38 0.38888
0.39 0.52000
0.40 0.49912
0.41 0.54264
0.42 0.42397
0.43 0.48934
0.44 0.55297
0.45 0.48143
0.46 0.46463
0.47 0.51153
0.48 0.52259
0.49 0.54707
0.50 0.46442
0.51 0.46438
0.52 0.46301
0.53 0.50407
0.54 0.46874
0.55 0.52007
0.56 0.47041
0.57 0.49757
0.58 0.53138
0.59 0.48372
0.60 0.46702
0.61 0.49257
0.62 0.54425
0.63 0.50726
0.64 0.53569
0.65 0.49344
0.66 0.52621
0.67 0.40041
0.68 0.50135
0.69 0.56373
0.70 0.49743
0.71 0.39720
0.72 0.52972
0.73 0.51518
0.74 0.53152
0.75 0.51357
0.76 0.52148
0.77 0.47048
0.78 0.50544
0.79 0.49880
0.80 0.50697
0.81 0.52951
0.82 0.47201
0.83 0.55466
0.84 0.48942
0.85 0.52435
0.86 0.48894
0.87 0.53181
0.88 0.50816
0.89 0.56672
0.90 0.50348
0.91 0.45626
0.92 0.47052
0.93 0.44719
0.94 0.44014
0.95 0.40300
0.96 0.43314
0.97 0.55782
0.98 0.46597
0.99 0.51902
