Initial_Fraction Final_Fraction
0.00 0.00000
0.01 0.00000
0.02 0.00000
0.03 0.00000
0.04 0.00000
0.05 0.00006
0.06 0.00044
0.07 0.00202
0.08 0.00534
0.09 0.98390
0.10 0.31479
0.11 0.49607
0.12 0.48666
0.13 0.47770
0.14 0.47694
0.15 0.49265
0.16 0.50441
0.17 0.50020
0.18 0.49920
0.19 0.50167
0.20 0.50554
0.21 0.50381
0.22 0.49762
0.23 0.50796
0.24 0.50112
0.25 0.49838
0.26 0.49959
0.27 0.49796
0.28 0.50404
0.29 0.50135
0.30 0.49526
0.31 0.50156
0.32 0.49988
0.33 0.49962
0.34 0.50153
0.35 0.49741
0.36 0.50003
0.37 0.50043
0.38 0.50100
0.39 0.50034
0.40 0.49964
0.41 0.49966
0.42 0.50037
0.43 0.49992
0.44 0.50050
0.45 0.49719
0.46 0.49774
0.47 0.50160
0.48 0.50240
0.49 0.49744
0.50 0.49985
0.51 0.50035
0.52 0.50007
0.53 0.50047
0.54 0.49965
0.55 0.49793
0.56 0.50159
0.57 0.49787
0.58 0.49963
0.59 0.49924
0.60 0.50033
0.61 0.49989
0.62 0.49854
0.63 0.50075
0.64 0.50006
0.65 0.49989
0.66 0.49924
0.67 0.49906
0.68 0.49767
0.69 0.49721
0.70 0.49992
0.71 0.50099
0.72 0.49916
0.73 0.49880
0.74 0.49924
0.75 0.50185
0.76 0.49958
0.77 0.50007
0.78 0.50164
0.79 0.49851
0.80 0.49933
0.81 0.50100
0.82 0.49763
0.83 0.50209
0.84 0.50157
0.85 0.50042
0.86 0.50038
0.87 0.49782
0.88 0.50031
0.89 0.49845
0.90 0.50099
0.91 0.50189
0.92 0.50047
0.93 0.50054
0.94 0.49899
0.95 0.50062
0.96 0.50109
0.97 0.50061
0.98 0.50029
0.99 0.50210
