Initial_Fraction Final_Fraction
0.00 0.00000
0.01 0.00000
0.02 0.00000
0.03 0.00000
0.04 0.00000
0.05 0.00006
0.06 0.00022
0.07 0.00078
0.08 0.00182
0.09 0.00376
0.10 0.00641
0.11 0.01029
0.12 0.01454
0.13 0.01936
0.14 0.02495
0.15 0.03130
0.16 0.03742
0.17 0.04359
0.18 0.05053
0.19 0.05679
0.20 0.06363
0.21 0.07056
0.22 0.07720
0.23 0.08430
0.24 0.09043
0.25 0.09704
0.26 0.10325
0.27 0.10851
0.28 0.11533
0.29 0.12222
0.30 0.12715
0.31 0.13306
0.32 0.13899
0.33 0.14475
0.34 0.15045
0.35 0.15635
0.36 0.16199
0.37 0.16661
0.38 0.17241
0.39 0.17632
0.40 0.18279
0.41 0.18813
0.42 0.19238
0.43 0.19822
0.44 0.20092
0.45 0.20560
0.46 0.21067
0.47 0.21605
0.48 0.21913
0.49 0.22246
0.50 0.22927
0.51 0.23303
0.52 0.23634
0.53 0.24129
0.54 0.24390
0.55 0.24821
0.56 0.25152
0.57 0.25593
0.58 0.25975
0.59 0.26302
0.60 0.26645
0.61 0.26957
0.62 0.27342
0.63 0.27609
0.64 0.27925
0.65 0.28174
0.66 0.28612
0.67 0.28811
0.68 0.29172
0.69 0.29433
0.70 0.29648
0.71 0.29706
0.72 0.30237
0.73 0.30528
0.74 0.30554
0.75 0.30896
0.76 0.31242
0.77 0.31397
0.78 0.31710
0.79 0.31999
0.80 0.32134
0.81 0.32344
0.82 0.32452
0.83 0.32728
0.84 0.32813
0.85 0.33131
0.86 0.33149
0.87 0.33470
0.88 0.33756
0.89 0.33860
0.90 0.34063
0.91 0.34411
0.92 0.34506
0.93 0.34484
0.94 0.34705
0.95 0.34943
0.96 0.35270
0.97 0.35117
0.98 0.35442
0.99 0.35666
