Initial_Fraction Final_Fraction
0.00 0.10000
0.01 0.10000
0.02 0.12000
0.03 0.32000
0.04 0.80000
0.05 0.99997
0.06 0.99977
0.07 0.99918
0.08 0.99812
0.09 0.99614
0.10 0.99353
0.11 0.98959
0.12 0.98493
0.13 0.97950
0.14 0.97361
0.15 0.96735
0.16 0.96030
0.17 0.95261
0.18 0.94446
0.19 0.93562
0.20 0.92750
0.21 0.91916
0.22 0.90980
0.23 0.90018
0.24 0.89186
0.25 0.88189
0.26 0.87312
0.27 0.86362
0.28 0.85541
0.29 0.84455
0.30 0.83776
0.31 0.82742
0.32 0.82026
0.33 0.81013
0.34 0.80257
0.35 0.79327
0.36 0.78667
0.37 0.77874
0.38 0.77181
0.39 0.76485
0.40 0.75727
0.41 0.75026
0.42 0.74420
0.43 0.73930
0.44 0.73182
0.45 0.72509
0.46 0.71975
0.47 0.71296
0.48 0.70846
0.49 0.70441
0.50 0.69712
0.51 0.69419
0.52 0.69041
0.53 0.68681
0.54 0.68151
0.55 0.67668
0.56 0.67420
0.57 0.66844
0.58 0.66473
0.59 0.65967
0.60 0.65540
0.61 0.65561
0.62 0.65077
0.63 0.64817
0.64 0.64525
0.65 0.64156
0.66 0.64038
0.67 0.63769
0.68 0.63601
0.69 0.62996
0.70 0.62925
0.71 0.62668
0.72 0.62662
0.73 0.62389
0.74 0.62129
0.75 0.61758
0.76 0.61634
0.77 0.61546
0.78 0.61579
0.79 0.61285
0.80 0.61027
0.81 0.60866
0.82 0.60700
0.83 0.60493
0.84 0.60517
0.85 0.60263
0.86 0.60040
0.87 0.59790
0.88 0.59848
0.89 0.59691
0.90 0.59443
0.91 0.59315
0.92 0.59072
0.93 0.58966
0.94 0.58950
0.95 0.58878
0.96 0.58645
0.97 0.58590
0.98 0.58463
0.99 0.58304
