Initial_Fraction Final_Fraction
0.00 0.10000
0.01 0.10000
0.02 0.10000
0.03 0.10000
0.04 0.10000
0.05 0.10000
0.06 0.11000
0.07 0.26049
0.08 0.47149
0.09 0.48878
0.10 0.48129
0.11 0.48074
0.12 0.51175
0.13 0.47081
0.14 0.50517
0.15 0.49772
0.16 0.50854
0.17 0.49568
0.18 0.48925
0.19 0.50571
0.20 0.49977
0.21 0.49859
0.22 0.49649
0.23 0.50105
0.24 0.50414
0.25 0.50095
0.26 0.49800
0.27 0.49543
0.28 0.49888
0.29 0.50146
0.30 0.49921
0.31 0.49878
0.32 0.49834
0.33 0.50228
0.34 0.50142
0.35 0.50214
0.36 0.49971
0.37 0.49891
0.38 0.50160
0.39 0.49876
0.40 0.50092
0.41 0.50032
0.42 0.49995
0.43 0.49914
0.44 0.50263
0.45 0.49822
0.46 0.49912
0.47 0.50057
0.48 0.49877
0.49 0.50128
0.50 0.49910
0.51 0.50132
0.52 0.50099
0.53 0.49986
0.54 0.50025
0.55 0.49914
0.56 0.49881
0.57 0.49878
0.58 0.50067
0.59 0.50063
0.60 0.49987
0.61 0.49987
0.62 0.49929
0.63 0.50234
0.64 0.50027
0.65 0.50003
0.66 0.49897
0.67 0.50006
0.68 0.49914
0.69 0.50085
0.70 0.49820
0.71 0.50070
0.72 0.50092
0.73 0.49988
0.74 0.49978
0.75 0.49954
0.76 0.50099
0.77 0.49960
0.78 0.49916
0.79 0.50017
0.80 0.49998
0.81 0.50070
0.82 0.49906
0.83 0.49924
0.84 0.50042
0.85 0.50056
0.86 0.50061
0.87 0.50217
0.88 0.49984
0.89 0.50162
0.90 0.50065
0.91 0.49927
0.92 0.49899
0.93 0.49894
0.94 0.50023
0.95 0.49811
0.96 0.49924
0.97 0.50100
0.98 0.49978
0.99 0.50166
