Initial_Fraction Final_Fraction
0.00 0.00000
0.01 0.00000
0.02 0.00000
0.03 0.00000
0.04 0.00001
0.05 0.00008
0.06 0.00040
0.07 0.00153
0.08 0.00424
0.09 0.00872
0.10 0.98294
0.11 0.90704
0.12 0.12974
0.13 0.45671
0.14 0.51706
0.15 0.49797
0.16 0.48064
0.17 0.51495
0.18 0.51508
0.19 0.50128
0.20 0.49783
0.21 0.50733
0.22 0.49250
0.23 0.50241
0.24 0.50019
0.25 0.50325
0.26 0.49689
0.27 0.49804
0.28 0.49622
0.29 0.49565
0.30 0.49724
0.31 0.50277
0.32 0.50540
0.33 0.50156
0.34 0.49878
0.35 0.49886
0.36 0.50152
0.37 0.49994
0.38 0.49942
0.39 0.49825
0.40 0.49824
0.41 0.50186
0.42 0.50011
0.43 0.49848
0.44 0.50053
0.45 0.50030
0.46 0.50116
0.47 0.49963
0.48 0.50045
0.49 0.50050
0.50 0.50074
0.51 0.49948
0.52 0.49952
0.53 0.50065
0.54 0.49876
0.55 0.49860
0.56 0.50021
0.57 0.50130
0.58 0.49888
0.59 0.50029
0.60 0.50027
0.61 0.49858
0.62 0.49949
0.63 0.50026
0.64 0.49968
0.65 0.49929
0.66 0.49935
0.67 0.49745
0.68 0.50041
0.69 0.50012
0.70 0.49721
0.71 0.50068
0.72 0.50037
0.73 0.49803
0.74 0.49917
0.75 0.49979
0.76 0.49996
0.77 0.49825
0.78 0.50114
0.79 0.50066
0.80 0.50141
0.81 0.50216
0.82 0.50063
0.83 0.50013
0.84 0.49991
0.85 0.49874
0.86 0.49956
0.87 0.49936
0.88 0.49866
0.89 0.50025
0.90 0.49784
0.91 0.49770
0.92 0.50146
0.93 0.49983
0.94 0.49895
0.95 0.49864
0.96 0.49992
0.97 0.49998
0.98 0.50019
0.99 0.49907
