Initial_Fraction Final_Fraction
0.00 0.00000
0.01 0.00000
0.02 0.00000
0.03 0.00000
0.04 0.00000
0.05 0.00005
0.06 0.00029
0.07 0.00076
0.08 0.00188
0.09 0.00374
0.10 0.00642
0.11 0.01004
0.12 0.01456
0.13 0.01970
0.14 0.02517
0.15 0.03129
0.16 0.03801
0.17 0.04403
0.18 0.05036
0.19 0.05703
0.20 0.06428
0.21 0.07031
0.22 0.07682
0.23 0.08330
0.24 0.09045
0.25 0.09725
0.26 0.10332
0.27 0.10915
0.28 0.11638
0.29 0.12162
0.30 0.12845
0.31 0.13466
0.32 0.14004
0.33 0.14493
0.34 0.15105
0.35 0.15667
0.36 0.16173
0.37 0.16680
0.38 0.17180
0.39 0.17788
0.40 0.18250
0.41 0.18737
0.42 0.19324
0.43 0.19748
0.44 0.20186
0.45 0.20697
0.46 0.21092
0.47 0.21606
0.48 0.22068
0.49 0.22398
0.50 0.22864
0.51 0.23219
0.52 0.23633
0.53 0.24019
0.54 0.24397
0.55 0.24932
0.56 0.25230
0.57 0.25546
0.58 0.25907
0.59 0.26211
0.60 0.26595
0.61 0.26862
0.62 0.27269
0.63 0.27497
0.64 0.27853
0.65 0.28148
0.66 0.28418
0.67 0.28924
0.68 0.29078
0.69 0.29390
0.70 0.29666
0.71 0.29944
0.72 0.30271
0.73 0.30472
0.74 0.30638
0.75 0.30962
0.76 0.31236
0.77 0.31449
0.78 0.31559
0.79 0.31943
0.80 0.31983
0.81 0.32336
0.82 0.32525
0.83 0.32655
0.84 0.32830
0.85 0.33047
0.86 0.33373
0.87 0.33597
0.88 0.33708
0.89 0.33941
0.90 0.34120
0.91 0.34112
0.92 0.34441
0.93 0.34330
0.94 0.34711
0.95 0.35038
0.96 0.35049
0.97 0.35255
0.98 0.35401
0.99 0.35568
