Initial_Fraction Final_Fraction
0.00 0.11000
0.01 0.11000
0.02 0.11000
0.03 0.10000
0.04 0.33000
0.05 0.99995
0.06 0.99972
0.07 0.99924
0.08 0.99811
0.09 0.99627
0.10 0.99322
0.11 0.98986
0.12 0.98530
0.13 0.97967
0.14 0.97380
0.15 0.96704
0.16 0.95979
0.17 0.95244
0.18 0.94438
0.19 0.93640
0.20 0.92727
0.21 0.91865
0.22 0.90919
0.23 0.90243
0.24 0.89316
0.25 0.88360
0.26 0.87359
0.27 0.86429
0.28 0.85592
0.29 0.84609
0.30 0.83774
0.31 0.83042
0.32 0.82102
0.33 0.81297
0.34 0.80464
0.35 0.79590
0.36 0.78917
0.37 0.78189
0.38 0.77263
0.39 0.76502
0.40 0.75864
0.41 0.75304
0.42 0.74670
0.43 0.73958
0.44 0.73222
0.45 0.72948
0.46 0.72129
0.47 0.71647
0.48 0.71074
0.49 0.70764
0.50 0.70087
0.51 0.69778
0.52 0.69226
0.53 0.68891
0.54 0.68394
0.55 0.67985
0.56 0.67399
0.57 0.67185
0.58 0.66617
0.59 0.66363
0.60 0.66121
0.61 0.65724
0.62 0.65272
0.63 0.65131
0.64 0.64696
0.65 0.64452
0.66 0.64245
0.67 0.64085
0.68 0.63750
0.69 0.63456
0.70 0.63121
0.71 0.63041
0.72 0.62684
0.73 0.62566
0.74 0.62320
0.75 0.61970
0.76 0.61871
0.77 0.61806
0.78 0.61714
0.79 0.61340
0.80 0.61283
0.81 0.61022
0.82 0.60696
0.83 0.60455
0.84 0.60411
0.85 0.60295
0.86 0.60276
0.87 0.60074
0.88 0.59976
0.89 0.59528
0.90 0.59573
0.91 0.59533
0.92 0.59292
0.93 0.59163
0.94 0.58960
0.95 0.59002
0.96 0.58703
0.97 0.58897
0.98 0.58563
0.99 0.58452
