Initial_Fraction Final_Fraction
0.00 0.10000
0.01 0.10000
0.02 0.10000
0.03 0.10000
0.04 0.10000
0.05 0.09000
0.06 0.12000
0.07 0.16989
0.08 0.42944
0.09 0.48446
0.10 0.48373
0.11 0.49662
0.12 0.51495
0.13 0.50354
0.14 0.50544
0.15 0.50236
0.16 0.49887
0.17 0.50399
0.18 0.49892
0.19 0.49984
0.20 0.50006
0.21 0.50429
0.22 0.49967
0.23 0.50019
0.24 0.50015
0.25 0.49978
0.26 0.49933
0.27 0.49699
0.28 0.49848
0.29 0.50039
0.30 0.50274
0.31 0.49920
0.32 0.49860
0.33 0.49749
0.34 0.50291
0.35 0.49765
0.36 0.49997
0.37 0.49931
0.38 0.49885
0.39 0.50052
0.40 0.49903
0.41 0.49886
0.42 0.50026
0.43 0.49927
0.44 0.50272
0.45 0.50016
0.46 0.49898
0.47 0.49833
0.48 0.50065
0.49 0.50375
0.50 0.50057
0.51 0.50091
0.52 0.49906
0.53 0.50052
0.54 0.49865
0.55 0.49947
0.56 0.50081
0.57 0.49951
0.58 0.50122
0.59 0.50063
0.60 0.50090
0.61 0.49973
0.62 0.49823
0.63 0.50110
0.64 0.49804
0.65 0.49951
0.66 0.49665
0.67 0.49937
0.68 0.50014
0.69 0.49955
0.70 0.50101
0.71 0.49995
0.72 0.50025
0.73 0.49985
0.74 0.50047
0.75 0.50009
0.76 0.49965
0.77 0.49917
0.78 0.49917
0.79 0.50017
0.80 0.50101
0.81 0.49921
0.82 0.49943
0.83 0.49946
0.84 0.50191
0.85 0.50024
0.86 0.49964
0.87 0.49973
0.88 0.50012
0.89 0.49960
0.90 0.49859
0.91 0.49972
0.92 0.50076
0.93 0.50046
0.94 0.50198
0.95 0.49955
0.96 0.49960
0.97 0.50017
0.98 0.50067
0.99 0.49940
